Type,Bench,SD-factor,DIFA-M
CMPLT,NumPy,24.06,80.96
SDA,PyTorch,14.61,1265
SDA,PyTorch,9.92,1302.95
SDA,PyTorch,11.95,1214.4
SDA,PyTorch,15.18,1290.3
SDA,PyTorch,17.88,1151.15
SDA,PyTorch,9.66,1252.35
SDA,PyTorch,9.15,1163.8
SDA,PyTorch,10.52,1189.1
SDA,PyTorch,10.09,1302.95
SDA,PyTorch,10.61,1138.5
CMPLT,PyTorch,29.5,3022.1
CMPLT,PyTorch,37.1,3118.55
CMPLT,PyTorch,34.65,3407.9
CMPLT,PyTorch,34.65,2957.8
CMPLT,PyTorch,37.1,3375.75
CMPLT,PyTorch,36.75,3311.45
CMPLT,PyTorch,38.5,3343.6
CMPLT,PyTorch,31.85,3054.25
CMPLT,PyTorch,35.35,3343.6
CMPLT,PyTorch,37.8,3182.85
